livro,capitulo,versiculo,texto
JOAO_3,1,1,2615
JOAO_3,1,2,Bíblia King James (BKJ - 1611)
JOAO_3,1,3,A tradução Original e Fiel
JOAO_3,1,4,© BVBooks Editora.
JOAO_3,1,5,3 João
JOAO_3,1,6,3 João 1
JOAO_3,1,7,"1 O ancião ao amado Gaio, a quem amo em verdade."
JOAO_3,1,8,"2 Amado, eu desejo, acima de todas as coisas, que tu possas prosperar e em"
JOAO_3,1,9,"boa saúde, e que também a tua alma prospere."
JOAO_3,1,10,"3 Porque me alegrei grandemente quando os irmãos vieram, e testificaram"
JOAO_3,1,11,"da verdade que há em ti, e como tu andas na verdade."
JOAO_3,1,12,4 Não tenho maior alegria do que a de ouvir que os meus filhos andam na
JOAO_3,1,13,verdade.
JOAO_3,1,14,"5 Amado, procedes fielmente em tudo o que fazes para com os irmãos, e para"
JOAO_3,1,15,com os estranhos;
JOAO_3,1,16,"6 estes foram testemunhas da tua caridade diante da igreja, os quais, se"
JOAO_3,1,17,"conduzires em sua jornada de maneira piedosa, farás bem."
JOAO_3,1,18,"7 Porque pelo seu Nome seguiram adiante, nada tomando dos gentios."
JOAO_3,1,19,"8 Portanto, devemos receber aos tais, para que sejamos cooperadores da"
JOAO_3,1,20,verdade.
JOAO_3,1,21,"9 Escrevi à igreja; mas Diótrefes, que ama ter preeminência entre eles, não"
JOAO_3,1,22,nos recebe.
JOAO_3,1,23,"10 Por isso, se eu for, lembrar-me-ei dos feitos que ele realiza, proferindo"
JOAO_3,1,24,"contra nós palavras maliciosas; e, não contente com isto, não recebe os"
JOAO_3,1,25,"irmãos, e impede os que querem recebê-los, e os expulsa da igreja."
JOAO_3,1,26,"11 Amado, não sigas o que é mal, mas o que é bom. Aquele que faz o bem é"
JOAO_3,1,27,de Deus; mas aquele que faz o mal não viu a Deus.
JOAO_3,1,28,"12 Demétrio, porém, tem bom testemunho da parte de todos os homens, e da"
JOAO_3,1,29,"parte da própria verdade, sim, e também nós testemunhamos; e vós sabeis"
JOAO_3,1,30,que o nosso testemunho é verdadeiro.
JOAO_3,1,31,2616
JOAO_3,1,32,Bíblia King James (BKJ - 1611)
JOAO_3,1,33,A tradução Original e Fiel
JOAO_3,1,34,© BVBooks Editora.
JOAO_3,1,35,"13 Eu tinha muitas coisas para escrever, mas não irei escrever-te com tinta e"
JOAO_3,1,36,pena.
JOAO_3,1,37,"14 Mas acredito que ver-te-ei brevemente, e falaremos face a face. Paz seja"
JOAO_3,1,38,contigo. Nossos amigos te saúdam. Saúda os amigos por nome.
