arquivo,pagina,linha_global,linha_pagina,tipo,texto,livro,capitulo,versiculo,texto_versiculo
JUDAS.pdf,1,5,10,estrutura_biblica,Judas,,,,
JUDAS.pdf,1,6,11,estrutura_biblica,Judas 1,Judas,1.0,,
JUDAS.pdf,1,7,12,estrutura_biblica,"1 Judas, o servo de Jesus Cristo, e irmão de Tiago, àqueles que são",,,1.0,"Judas, o servo de Jesus Cristo, e irmão de Tiago, àqueles que são"
JUDAS.pdf,1,8,13,conteudo_biblico,"santificados por Deus o Pai, aos chamados, e preservados em Jesus Cristo:",,,,
JUDAS.pdf,1,9,14,estrutura_biblica,"2 Sejam-vos multiplicados a misericórdia, e a paz, e o amor.",,,2.0,"Sejam-vos multiplicados a misericórdia, e a paz, e o amor."
JUDAS.pdf,1,10,15,estrutura_biblica,"3 Amados, quando dediquei toda a diligência a escrever-vos acerca da",,,3.0,"Amados, quando dediquei toda a diligência a escrever-vos acerca da"
JUDAS.pdf,1,11,16,conteudo_biblico,"salvação comum, tive a necessidade de escrever-vos, e exortar-vos,",,,,
JUDAS.pdf,1,12,17,conteudo_biblico,porquanto deveis seriamente batalhar pela fé que uma vez foi entregue aos,,,,
JUDAS.pdf,1,13,18,conteudo_biblico,santos.,,,,
JUDAS.pdf,1,14,19,estrutura_biblica,"4 Porque certos homens se introduziram com dissimulação, os quais antes",,,4.0,"Porque certos homens se introduziram com dissimulação, os quais antes"
JUDAS.pdf,1,15,20,conteudo_biblico,"estavam ordenados para esta condenação, homens impiedosos, que",,,,
JUDAS.pdf,1,16,21,conteudo_biblico,"convertem a graça do nosso Deus em lascívia, e negam o único Senhor Deus",,,,
JUDAS.pdf,1,17,22,conteudo_biblico,e nosso Senhor Jesus Cristo.,,,,
JUDAS.pdf,1,18,23,estrutura_biblica,"5 Mas quero, portanto, lembrar-vos, embora já sabeis disso, como o Senhor",,,5.0,"Mas quero, portanto, lembrar-vos, embora já sabeis disso, como o Senhor"
JUDAS.pdf,1,19,24,conteudo_biblico,"salvou o povo da terra do Egito, e destruiu depois os que não creram.",,,,
JUDAS.pdf,1,20,25,estrutura_biblica,"6 E aos anjos que não guardaram o seu estado original, mas deixaram a sua",,,6.0,"E aos anjos que não guardaram o seu estado original, mas deixaram a sua"
JUDAS.pdf,1,21,26,conteudo_biblico,"própria habitação, ele reservou cadeias eternas sob trevas até ao julgamento",,,,
JUDAS.pdf,1,22,27,conteudo,do grande dia.,,,,
JUDAS.pdf,1,23,28,estrutura_biblica,"7 Assim como Sodoma e Gomorra, e as cidades circunvizinhas, que da",,,7.0,"Assim como Sodoma e Gomorra, e as cidades circunvizinhas, que da"
JUDAS.pdf,1,24,29,conteudo_biblico,"mesma maneira deram-se à fornicação e seguiram após carne estranha,",,,,
JUDAS.pdf,1,25,30,conteudo_biblico,"foram postas como exemplo, sofrendo a vingança do fogo eterno.",,,,
JUDAS.pdf,1,26,31,estrutura_biblica,"8 Também do mesmo modo, estes sonhadores imundos contaminam a carne,",,,8.0,"Também do mesmo modo, estes sonhadores imundos contaminam a carne,"
JUDAS.pdf,1,27,32,conteudo_biblico,desprezam as autoridades e falam mal das potestades.,,,,
JUDAS.pdf,1,28,33,estrutura_biblica,"9 No entanto, Miguel, o arcanjo, quando contendia com o diabo disputando",,,9.0,"No entanto, Miguel, o arcanjo, quando contendia com o diabo disputando"
JUDAS.pdf,1,29,34,conteudo_biblico,"pelo corpo de Moisés, não ousou trazer contra ele um juízo de acusação,",,,,
JUDAS.pdf,1,30,35,conteudo_biblico,mas disse: O Senhor te repreenda.,,,,
JUDAS.pdf,1,31,36,estrutura_biblica,"10 Estes, porém, falam mal do que não sabem; mas aquilo que naturalmente",,,10.0,"Estes, porém, falam mal do que não sabem; mas aquilo que naturalmente"
JUDAS.pdf,1,32,37,conteudo_biblico,"conhecem, como animais irracionais, nestas coisas se corrompem.",,,,
JUDAS.pdf,2,37,10,estrutura_biblica,"11 Ai deles! Porque entraram pelo caminho de Caim, e correram",,,11.0,"Ai deles! Porque entraram pelo caminho de Caim, e correram"
JUDAS.pdf,2,38,11,conteudo_biblico,"gananciosamente em direção ao erro de Balaão por recompensa, e",,,,
JUDAS.pdf,2,39,12,conteudo,pereceram na rebelião de Coré.,,,,
JUDAS.pdf,2,40,13,estrutura_biblica,"12 Estes são manchas em vossas festas de caridade, quando festejam",,,12.0,"Estes são manchas em vossas festas de caridade, quando festejam"
JUDAS.pdf,2,41,14,conteudo_biblico,"convosco, alimentando-se sem temor; eles são nuvens sem água, levadas",,,,
JUDAS.pdf,2,42,15,conteudo_biblico,"pelos ventos; árvores cujos frutos secam, infrutíferas, duas vezes mortas,",,,,
JUDAS.pdf,2,43,16,conteudo,desarraigadas;,,,,
JUDAS.pdf,2,44,17,estrutura_biblica,"13 ondas impetuosas do mar, que espumam a sua própria vergonha; estrelas",,,13.0,"ondas impetuosas do mar, que espumam a sua própria vergonha; estrelas"
JUDAS.pdf,2,45,18,conteudo_biblico,errantes para as quais o negrume das trevas está reservado para sempre.,,,,
JUDAS.pdf,2,46,19,estrutura_biblica,"14 E também Enoque, o sétimo depois de Adão, destes profetizou dizendo:",,,14.0,"E também Enoque, o sétimo depois de Adão, destes profetizou dizendo:"
JUDAS.pdf,2,47,20,conteudo_biblico,Eis que é vindo o Senhor com dez mil de seus santos;,,,,
JUDAS.pdf,2,48,21,estrutura_biblica,"15 para fazer juízo contra todos e convencer todos os ímpios entre eles, por",,,15.0,"para fazer juízo contra todos e convencer todos os ímpios entre eles, por"
JUDAS.pdf,2,49,22,conteudo_biblico,"todos os seus atos impiedosos, que impiamente cometeram, e por todas as",,,,
JUDAS.pdf,2,50,23,conteudo_biblico,duras palavras que ímpios pecadores disseram contra ele.,,,,
JUDAS.pdf,2,51,24,estrutura_biblica,"16 Estes são os murmuradores, os queixosos, que andam segundo os seus",,,16.0,"Estes são os murmuradores, os queixosos, que andam segundo os seus"
JUDAS.pdf,2,52,25,conteudo_biblico,"desejos carnais, e cujas bocas proferem palavras muito arrogantes,",,,,
JUDAS.pdf,2,53,26,conteudo_biblico,admirando as pessoas por causa de alguma vantagem.,,,,
JUDAS.pdf,2,54,27,estrutura_biblica,"17 Porém, amados, lembrai-vos das palavras que foram proferidas antes pelos",,,17.0,"Porém, amados, lembrai-vos das palavras que foram proferidas antes pelos"
JUDAS.pdf,2,55,28,conteudo_biblico,apóstolos de nosso Senhor Jesus Cristo;,,,,
JUDAS.pdf,2,56,29,estrutura_biblica,"18 e, como vos diziam, haveria escarnecedores nos últimos tempos, que",,,18.0,"e, como vos diziam, haveria escarnecedores nos últimos tempos, que"
JUDAS.pdf,2,57,30,conteudo_biblico,andariam segundo as suas ímpias concupiscências.,,,,
JUDAS.pdf,2,58,31,estrutura_biblica,"19 Sendo estes os que se separam a si mesmos, os sensuais, que não têm o",,,19.0,"Sendo estes os que se separam a si mesmos, os sensuais, que não têm o"
JUDAS.pdf,2,59,32,conteudo_biblico,Espírito.,,,,
JUDAS.pdf,2,60,33,estrutura_biblica,"20 Mas vós, amados, edificando-vos a vós mesmos sobre a vossa santíssima",,,20.0,"Mas vós, amados, edificando-vos a vós mesmos sobre a vossa santíssima"
JUDAS.pdf,2,61,34,conteudo_biblico,"fé, orando no Espírito Santo,",,,,
JUDAS.pdf,2,62,35,estrutura_biblica,"21 conservai-vos no amor de Deus, esperando a misericórdia de nosso Senhor",,,21.0,"conservai-vos no amor de Deus, esperando a misericórdia de nosso Senhor"
JUDAS.pdf,2,63,36,conteudo_biblico,Jesus Cristo para a vida eterna.,,,,
JUDAS.pdf,2,64,37,estrutura_biblica,"22 E de alguns, tende compaixão, com discernimento.",,,22.0,"E de alguns, tende compaixão, com discernimento."
JUDAS.pdf,3,69,10,estrutura_biblica,"23 E salvai alguns com temor, arrebatando-os do fogo, odiando até a",,,23.0,"E salvai alguns com temor, arrebatando-os do fogo, odiando até a"
JUDAS.pdf,3,70,11,conteudo_biblico,vestimenta manchada pela carne.,,,,
JUDAS.pdf,3,71,12,estrutura_biblica,"24 Ora, àquele que é poderoso para impedir-vos de cair, e para apresentar-",,,24.0,"Ora, àquele que é poderoso para impedir-vos de cair, e para apresentar-"
JUDAS.pdf,3,72,13,conteudo_biblico,"vos sem defeito, diante da presença de sua glória, com abundante alegria,",,,,
JUDAS.pdf,3,73,14,estrutura_biblica,"25 ao único Deus sábio, nosso Salvador, seja glória e majestade, domínio e",,,25.0,"ao único Deus sábio, nosso Salvador, seja glória e majestade, domínio e"
JUDAS.pdf,3,74,15,conteudo_biblico,"poder, agora e sempre. Amém.",,,,
